,cx,cxROI,cy,cyROI
0,364,77,393,183
1,393,83,386,180
2,416,88,371,173
3,429,91,358,167
4,442,94,349,162
5,422,90,316,147
6,448,95,284,132
7,465,99,263,122
8,478,101,244,113
9,406,86,310,144
10,436,92,292,136
11,448,95,293,136
12,455,97,290,135
13,389,82,309,144
14,412,87,312,145
15,410,87,335,156
16,405,86,346,161
17,370,78,313,146
18,390,83,320,149
19,390,83,340,158
20,385,82,350,163
21,402,59,404,193
22,436,64,399,191
23,465,69,389,186
24,487,72,380,182
25,506,75,372,178
26,475,70,338,161
27,506,75,319,152
28,525,77,307,147
29,541,80,295,141
30,463,68,327,156
31,499,74,311,149
32,523,77,300,143
33,542,80,291,139
34,446,66,321,153
35,470,69,334,160
36,465,69,357,171
37,458,67,372,178
38,427,63,322,154
39,449,66,336,161
40,447,66,357,171
41,443,65,371,177
42,422,67,400,192
43,458,72,402,193
44,497,79,394,189
45,525,83,398,191
46,547,87,404,194
47,498,79,343,165
48,523,83,320,154
49,538,85,305,146
50,551,87,291,140
51,481,76,332,160
52,507,80,315,151
53,524,83,308,148
54,538,85,299,144
55,460,73,326,157
56,478,76,334,160
57,472,75,356,171
58,464,73,368,177
59,438,69,326,157
60,455,72,336,161
61,452,72,356,171
62,446,71,366,176
63,455,70,412,193
64,488,75,417,195
65,524,81,415,194
66,550,85,420,197
67,571,88,426,199
68,536,82,367,172
69,567,87,351,164
70,585,90,338,158
71,600,92,326,153
72,524,81,353,165
73,559,86,339,159
74,584,90,330,154
75,604,93,321,150
76,506,78,343,161
77,528,81,356,167
78,516,79,378,177
79,504,77,389,182
80,486,75,340,159
81,504,77,356,167
82,498,77,375,176
83,491,75,385,180
84,477,72,418,196
85,510,77,429,201
86,546,83,429,201
87,571,86,437,205
88,588,89,447,209
89,563,85,385,180
90,593,90,370,173
91,611,93,358,168
92,627,95,347,162
93,552,84,371,174
94,585,89,359,168
95,608,92,351,164
96,628,95,343,161
97,534,81,361,169
98,555,84,370,173
99,542,82,390,183
100,531,80,400,187
101,515,78,356,167
102,534,81,369,173
103,525,79,387,181
104,516,78,397,186
105,487,71,421,197
106,516,75,433,203
107,552,80,436,204
108,576,84,443,207
109,592,86,454,213
110,571,83,392,184
111,603,88,379,177
112,622,90,368,172
113,638,93,358,168
114,560,81,378,177
115,596,87,365,171
116,621,90,357,167
117,641,93,348,163
118,543,79,367,172
119,567,82,375,176
120,552,80,396,185
121,538,78,405,190
122,524,76,362,169
123,543,79,374,175
124,533,77,392,184
125,523,76,401,188
126,488,71,421,196
127,517,75,433,202
128,553,80,436,203
129,577,84,444,207
130,593,86,455,212
131,572,83,391,182
132,602,87,378,176
133,622,90,367,171
134,638,93,358,167
135,561,81,377,175
136,596,87,364,169
137,621,90,356,166
138,642,93,348,162
139,545,79,366,170
140,567,82,375,175
141,552,80,396,184
142,539,78,406,189
143,526,76,361,168
144,544,79,376,175
145,534,78,394,183
146,523,76,402,187
147,489,71,420,195
148,519,76,432,201
149,554,81,435,202
150,577,84,444,206
151,594,87,455,211
152,572,84,391,181
153,602,88,378,175
154,621,91,366,170
155,637,93,356,165
156,562,82,376,174
157,596,87,364,169
158,621,91,354,164
159,643,94,346,160
160,545,80,366,170
161,568,83,374,174
162,553,81,396,184
163,540,79,407,189
164,526,77,361,167
165,544,79,375,174
166,535,78,394,183
167,524,76,402,187
168,488,72,419,195
169,517,76,431,201
170,553,82,434,202
171,577,85,442,206
172,593,88,454,211
173,572,84,390,182
174,602,89,375,175
175,621,92,363,169
176,637,94,353,164
177,561,83,376,175
178,596,88,362,168
179,622,92,352,164
180,644,95,344,160
181,545,80,365,170
182,567,84,373,174
183,553,82,393,183
184,539,80,404,188
185,526,78,359,167
186,543,80,373,174
187,534,79,392,182
188,524,77,402,187
189,487,73,420,197
190,516,77,432,202
191,553,82,435,204
192,577,86,444,208
193,594,89,456,214
194,572,85,390,183
195,603,90,376,176
196,623,93,363,170
197,639,95,352,165
198,561,84,376,176
199,597,89,362,169
200,623,93,353,165
201,646,96,344,161
202,543,81,364,170
203,567,85,373,175
204,551,82,395,185
205,538,80,405,190
206,524,78,359,168
207,544,81,375,176
208,533,79,392,184
209,522,78,399,187
210,487,72,420,196
211,516,76,432,202
212,552,81,435,203
213,577,85,444,207
214,594,88,455,212
215,571,84,390,182
216,602,89,376,175
217,622,92,365,170
218,638,94,354,165
219,560,83,375,175
220,595,88,362,169
221,620,92,353,165
222,642,95,345,161
223,543,80,364,170
224,566,84,375,175
225,551,81,396,185
226,538,79,406,190
227,525,77,359,168
228,543,80,374,175
229,534,79,393,183
230,523,77,402,188
231,488,72,419,196
232,518,76,431,201
233,554,81,435,203
234,578,85,443,207
235,594,87,455,212
236,573,84,389,182
237,603,89,375,175
238,623,91,363,169
239,640,94,354,165
240,562,82,375,175
241,595,87,364,170
242,621,91,356,166
243,642,94,349,163
244,546,80,364,170
245,567,83,377,176
246,552,81,396,185
247,539,79,406,190
248,528,77,359,168
249,545,80,375,175
250,536,79,393,183
