,cx,cxROI,cy,cyROI
0,215,78,656,324
1,290,106,619,306
2,349,127,553,273
3,385,140,497,245
4,403,147,453,223
5,309,112,460,227
6,324,118,404,199
7,332,121,377,186
8,339,123,352,174
9,260,95,447,221
10,267,97,383,189
11,272,99,350,173
12,277,101,321,158
13,211,77,451,222
14,207,75,383,189
15,204,74,346,171
16,205,74,312,154
17,165,60,472,233
18,146,53,415,205
19,133,48,380,187
20,125,45,344,170
21,242,88,589,300
22,322,118,542,276
23,387,142,478,243
24,430,157,430,219
25,461,169,394,200
26,343,125,390,198
27,371,136,325,165
28,383,140,281,143
29,393,144,243,123
30,302,110,379,193
31,317,116,307,156
32,327,120,261,133
33,336,123,222,113
34,261,95,381,194
35,268,98,314,160
36,273,100,269,137
37,278,102,229,116
38,219,80,398,202
39,209,76,347,176
40,200,73,313,159
41,194,71,279,142
42,254,85,543,273
43,329,111,517,259
44,394,132,461,231
45,440,148,416,209
46,471,158,387,194
47,354,119,364,183
48,385,129,303,152
49,398,134,266,133
50,407,137,235,118
51,314,105,354,177
52,334,112,283,142
53,344,116,240,120
54,350,118,208,104
55,273,92,358,179
56,282,95,289,145
57,288,97,250,125
58,295,99,219,110
59,230,77,375,188
60,219,73,326,163
61,212,71,294,147
62,208,70,264,132
63,278,90,514,250
64,346,112,491,239
65,407,131,440,214
66,454,147,400,195
67,486,157,375,182
68,369,119,347,169
69,400,129,287,139
70,412,133,253,123
71,420,136,223,108
72,332,107,336,163
73,353,114,269,131
74,363,117,230,112
75,369,119,201,97
76,293,94,340,165
77,303,98,276,134
78,309,100,241,117
79,315,102,212,103
80,253,82,357,174
81,243,78,313,152
82,236,76,284,138
83,232,75,257,125
84,280,89,501,245
85,349,112,478,234
86,411,131,427,209
87,455,146,387,189
88,488,156,362,177
89,368,118,338,165
90,394,126,279,136
91,405,130,243,119
92,413,132,214,104
93,328,105,329,161
94,346,111,263,128
95,356,114,224,109
96,364,116,194,95
97,290,93,333,163
98,298,95,272,133
99,302,96,238,116
100,308,98,211,103
101,252,80,350,171
102,240,77,307,150
103,230,73,278,136
104,225,72,252,123
105,280,89,497,241
106,348,111,475,230
107,408,130,425,206
108,451,144,386,187
109,484,155,362,175
110,365,116,336,163
111,391,125,278,135
112,402,128,242,117
113,410,131,211,102
114,326,104,327,158
115,343,109,263,127
116,353,113,223,108
117,360,115,193,93
118,288,92,332,161
119,295,94,271,131
120,300,96,237,115
121,306,98,211,102
122,250,80,349,169
123,238,76,306,148
124,229,73,278,135
125,223,71,252,122
126,273,87,495,237
127,339,108,473,227
128,397,127,424,203
129,439,140,383,184
130,472,151,357,171
131,355,113,334,160
132,380,122,275,132
133,390,125,239,114
134,397,127,208,99
135,317,101,325,156
136,332,106,260,124
137,340,109,219,105
138,345,110,188,90
139,279,89,331,159
140,285,91,269,129
141,288,92,234,112
142,291,93,207,99
143,241,77,348,167
144,227,72,306,147
145,218,69,276,132
146,211,67,249,119
147,262,74,493,236
148,328,93,470,225
149,386,110,417,200
150,424,120,371,178
151,450,128,338,162
152,353,100,342,164
153,368,104,286,137
154,371,105,252,121
155,372,106,222,106
156,316,90,333,160
157,326,92,273,131
158,328,93,238,114
159,330,94,208,99
160,279,79,335,160
161,285,81,278,133
162,288,82,242,116
163,292,83,211,101
164,240,68,347,166
165,225,64,306,147
166,215,61,278,133
167,208,59,250,120
168,257,74,492,236
169,325,93,466,223
170,381,109,413,198
171,415,119,367,176
172,440,126,334,160
173,350,100,347,166
174,360,103,299,143
175,361,104,272,130
176,361,104,247,118
177,314,90,337,161
178,322,92,288,138
179,324,93,264,126
180,327,94,245,117
181,278,80,337,161
182,282,81,287,137
183,284,81,257,123
184,289,83,231,111
185,240,69,347,166
186,226,65,306,147
187,218,62,278,133
188,213,61,250,120
189,250,58,476,228
190,311,72,446,214
191,355,82,395,189
192,374,87,343,164
193,369,86,301,144
194,340,79,344,165
195,353,82,293,140
196,345,80,307,147
197,335,78,332,159
198,307,71,337,161
199,318,74,283,135
200,312,72,306,147
201,302,70,341,163
202,274,64,334,160
203,280,65,278,133
204,282,65,293,140
205,280,65,321,154
206,240,56,336,161
207,236,55,293,140
208,237,55,264,126
209,239,55,241,115
210,230,52,465,221
211,289,66,436,207
212,334,76,386,183
213,351,80,332,158
214,334,76,295,140
215,320,73,336,160
216,327,75,289,137
217,313,71,314,149
218,301,69,344,163
219,286,65,330,157
220,294,67,282,134
221,282,64,315,150
222,271,62,348,165
223,254,58,328,156
224,260,59,277,131
225,258,59,297,141
226,255,58,325,154
227,221,50,331,157
228,222,50,289,137
229,223,51,262,124
230,226,51,240,114
231,226,52,469,223
232,283,65,439,209
233,329,76,387,184
234,347,80,331,157
235,328,76,295,140
236,313,72,339,161
237,326,75,296,141
238,316,73,316,150
239,306,71,340,161
240,281,65,331,157
241,295,68,284,135
242,281,65,317,151
243,269,62,350,166
244,250,58,328,156
245,258,60,279,132
246,257,59,303,144
247,254,59,332,158
248,217,50,331,157
249,218,50,290,138
250,220,51,263,125
251,225,52,241,114
252,223,50,469,222
253,283,64,443,209
254,328,74,389,184
255,342,77,333,157
256,320,72,302,143
257,309,70,344,162
258,320,72,301,142
259,310,70,320,151
260,300,68,346,163
261,277,62,336,159
262,287,65,289,136
263,275,62,320,151
264,263,59,356,168
265,245,55,333,157
266,250,56,283,134
267,250,56,301,142
268,249,56,327,154
269,214,48,337,159
270,213,48,294,139
271,214,48,267,126
