,cx,cxROI,cy,cyROI
0,335,135,643,432
1,414,167,610,410
2,473,191,540,363
3,511,206,478,321
4,547,221,435,292
5,398,161,433,291
6,415,167,350,235
7,423,171,294,197
8,426,172,249,167
9,343,138,429,288
10,345,139,338,227
11,347,140,276,185
12,346,140,226,151
13,291,117,445,299
14,282,114,356,239
15,279,112,299,200
16,277,112,253,170
17,244,98,480,322
18,211,85,417,280
19,189,76,375,252
20,171,69,336,225
21,336,139,646,431
22,416,172,604,403
23,479,198,525,350
24,516,213,462,308
25,553,228,422,281
26,404,167,423,282
27,425,175,337,225
28,433,179,283,189
29,437,180,240,160
30,351,145,419,279
31,359,148,323,215
32,362,149,262,175
33,362,149,214,142
34,301,124,434,289
35,294,121,342,228
36,291,120,287,191
37,289,119,243,162
38,253,104,468,312
39,220,91,406,271
40,198,81,364,243
41,182,75,324,216
42,359,146,621,420
43,436,177,577,391
44,498,203,497,336
45,539,219,437,296
46,576,234,403,273
47,427,174,396,268
48,447,182,314,212
49,455,185,264,178
50,460,187,223,151
51,377,153,393,266
52,382,155,300,203
53,385,157,241,163
54,385,157,194,131
55,329,134,408,276
56,321,130,319,216
57,321,130,266,180
58,323,131,221,149
59,282,115,439,297
60,250,101,379,256
61,232,94,337,228
62,221,90,297,201
63,375,149,609,399
64,452,180,567,371
65,512,204,488,319
66,553,220,429,281
67,587,234,399,261
68,446,178,389,255
69,466,186,310,203
70,475,189,262,171
71,480,191,222,145
72,399,159,385,252
73,405,161,296,194
74,408,162,241,157
75,409,163,196,128
76,354,141,399,261
77,348,138,314,205
78,347,138,263,172
79,348,138,222,145
80,311,124,428,280
81,280,111,371,243
82,262,104,331,216
83,249,99,293,192
84,386,150,599,397
85,461,179,560,371
86,520,202,483,320
87,561,218,423,280
88,597,232,392,260
89,458,178,387,256
90,478,185,311,206
91,486,189,264,175
92,491,191,225,149
93,410,159,382,253
94,418,162,295,195
95,421,163,241,159
96,422,164,199,132
97,366,142,394,261
98,362,140,309,205
99,360,140,259,171
100,360,140,218,144
