,cx,cxROI,cy,cyROI
0,526,50,254,78
1,559,54,245,75
2,586,56,226,69
3,607,58,208,64
4,631,61,192,59
5,562,54,199,61
6,600,58,208,64
7,605,58,233,71
8,599,58,244,75
9,544,52,202,62
10,590,57,218,67
11,594,57,243,74
12,585,56,251,77
13,531,51,208,64
14,576,55,222,68
15,579,56,245,75
16,568,55,254,78
17,520,50,218,67
18,554,53,230,70
19,558,54,245,75
20,550,53,251,77
21,521,50,265,81
22,558,54,265,81
23,587,56,247,76
24,607,58,229,70
25,627,60,213,65
26,597,57,206,63
27,618,59,240,74
28,607,58,256,78
29,595,57,256,78
30,584,56,206,63
31,610,59,245,75
32,596,57,262,80
33,587,56,258,79
34,571,55,212,65
35,595,57,251,77
36,582,56,265,81
37,574,55,261,80
38,557,53,223,68
39,576,55,254,78
40,567,54,265,81
41,558,54,260,80
42,528,51,272,132
43,565,54,284,138
44,592,57,284,138
45,615,59,290,141
46,635,61,299,145
47,608,58,226,110
48,638,61,223,108
49,657,63,231,112
50,669,64,242,117
51,596,57,218,106
52,619,59,257,125
53,599,58,275,134
54,588,56,271,132
55,579,56,221,107
56,598,57,268,130
57,580,56,280,136
58,570,55,272,132
59,562,54,231,112
60,577,55,268,130
61,564,54,278,135
62,554,53,272,132
63,526,50,274,127
64,564,54,288,133
65,597,57,286,132
66,620,60,291,134
67,638,61,300,139
68,609,58,227,105
69,641,62,219,101
70,659,63,228,105
71,669,64,243,112
72,596,57,218,101
73,620,60,258,119
74,600,58,274,127
75,587,56,271,125
76,579,56,221,102
77,598,57,266,123
78,580,56,277,128
79,570,55,269,124
80,562,54,232,107
81,576,55,268,124
82,564,54,276,128
83,554,53,268,124
84,519,50,277,130
85,559,54,292,137
86,594,57,291,137
87,617,59,298,140
88,636,61,306,144
89,610,59,232,109
90,643,62,223,104
91,660,63,234,110
92,667,64,250,117
93,598,57,222,104
94,621,60,265,124
95,603,58,279,131
96,591,57,274,129
97,583,56,225,105
98,599,58,273,128
99,580,56,282,132
100,571,55,274,129
101,566,54,236,111
102,576,55,275,129
103,563,54,282,132
104,554,53,273,128
105,518,50,279,130
106,559,54,293,136
107,593,57,293,136
108,615,59,302,140
109,632,61,311,145
110,612,59,235,109
111,646,62,228,106
112,661,64,242,112
113,665,64,258,120
114,600,58,226,105
115,620,60,270,126
116,600,58,283,132
117,589,57,275,128
118,584,56,229,106
119,598,57,278,129
120,579,56,285,133
121,569,55,275,128
122,568,55,239,111
123,576,55,279,130
124,562,54,286,133
125,553,53,276,128
126,516,49,280,130
127,556,53,294,137
128,591,57,296,138
129,613,59,306,142
130,630,61,316,147
131,614,59,240,112
132,650,62,238,111
133,663,64,254,118
134,665,64,271,126
135,601,58,230,107
136,618,59,277,129
137,599,58,289,134
138,588,56,283,132
139,584,56,233,108
140,596,57,284,132
141,576,55,290,135
142,567,54,280,130
143,567,54,242,112
144,574,55,283,132
145,559,54,288,134
146,551,53,278,129
147,516,49,279,130
148,557,53,295,137
149,591,57,297,138
150,612,59,306,142
151,630,61,316,147
152,615,59,242,112
153,650,62,239,111
154,664,64,254,118
155,666,64,271,126
156,602,58,232,108
157,618,59,277,129
158,598,57,290,135
159,587,56,284,132
160,585,56,234,109
161,595,57,284,132
162,576,55,291,135
163,567,54,280,130
164,567,54,242,112
165,573,55,283,132
166,558,54,289,134
167,550,53,279,130
168,516,49,279,130
169,557,53,295,138
170,590,57,299,139
171,613,59,311,145
172,631,61,322,150
173,616,59,244,114
174,652,63,242,113
175,664,64,261,122
176,664,64,279,130
177,604,58,234,109
178,619,59,281,131
179,598,57,292,136
180,588,56,283,132
181,587,56,237,110
182,595,57,288,134
183,576,55,293,137
184,567,54,282,131
185,569,55,246,115
186,573,55,287,134
