,cx,cxROI,cy,cyROI
0,377,82,386,119
1,418,91,370,114
2,458,100,339,104
3,481,105,313,96
4,466,101,302,93
5,419,91,274,84
6,411,89,230,70
7,417,91,216,66
8,419,91,220,67
9,386,84,279,86
10,396,86,247,76
11,407,89,293,90
12,406,88,316,97
13,356,77,293,90
14,365,79,274,84
15,379,82,312,96
16,378,82,328,101
17,325,71,313,96
18,334,73,297,91
19,351,76,324,99
20,352,77,337,103
21,378,84,386,119
22,418,93,372,114
23,456,101,338,104
24,482,107,313,96
25,475,105,298,91
26,416,92,272,83
27,403,89,225,69
28,413,91,211,65
29,422,93,217,66
30,385,85,279,86
31,393,87,246,75
32,403,89,287,88
33,401,89,309,95
34,356,79,293,90
35,364,81,271,83
36,378,84,308,94
37,377,83,325,100
38,326,72,312,96
39,335,74,297,91
40,353,78,323,99
41,355,79,337,103
42,381,83,391,184
43,421,92,372,175
44,457,100,337,159
45,483,106,314,148
46,499,109,295,139
47,420,92,275,129
48,412,90,233,110
49,410,90,209,98
50,408,89,193,91
51,388,85,279,131
52,391,86,245,115
53,403,88,284,134
54,404,89,306,144
55,358,78,294,138
56,361,79,269,127
57,376,82,305,144
58,377,83,321,151
59,329,72,314,148
60,334,73,294,138
61,350,77,319,150
62,351,77,332,156
63,378,85,386,187
64,418,94,375,182
65,456,102,338,164
66,486,109,313,152
67,506,114,296,143
68,417,94,270,131
69,411,92,221,107
70,409,92,190,92
71,408,92,163,79
72,386,87,274,133
73,392,88,243,118
74,403,90,286,139
75,404,91,311,151
76,357,80,289,140
77,364,82,267,129
78,378,85,307,149
79,378,85,325,157
80,327,73,309,150
81,336,75,293,142
82,352,79,322,156
83,354,79,335,162
84,379,106,386,191
85,421,118,373,185
86,459,129,336,167
87,489,137,310,154
88,515,145,296,147
89,417,117,268,133
90,412,116,213,105
91,410,115,178,88
92,406,114,149,74
93,387,109,275,136
94,391,110,241,119
95,404,113,282,140
96,406,114,307,152
97,358,100,292,145
98,365,102,269,133
99,380,107,308,153
100,380,107,325,161
101,329,92,313,155
102,338,95,293,145
103,354,99,320,159
104,355,100,334,166
105,379,110,390,192
106,421,122,376,185
107,455,132,341,168
108,486,141,317,156
109,513,149,304,150
110,417,121,268,132
111,411,119,210,103
112,406,117,173,85
113,399,115,142,70
114,387,112,275,135
115,392,113,247,122
116,404,117,289,142
117,407,118,314,155
118,358,104,292,144
119,364,105,271,133
120,379,110,310,153
121,382,111,329,162
122,329,95,313,154
123,337,97,298,147
124,353,102,327,161
125,357,103,341,168
126,378,110,392,193
127,420,122,376,185
128,455,132,341,168
129,485,141,319,157
130,512,149,308,152
131,418,121,268,132
132,412,120,210,103
133,407,118,174,86
134,401,116,143,70
135,386,112,275,135
136,390,113,245,121
137,404,117,289,142
138,408,118,318,157
139,357,104,293,144
140,363,105,274,135
141,379,110,315,155
142,382,111,335,165
143,328,95,314,155
144,336,97,299,147
145,352,102,328,162
146,356,103,342,169
147,377,110,393,195
148,419,122,376,186
149,454,132,341,169
150,485,141,320,159
151,513,149,308,153
152,417,121,268,133
153,411,120,210,104
154,407,118,173,86
155,400,116,143,71
156,386,112,275,136
157,387,113,245,121
158,401,117,288,143
159,406,118,315,156
160,356,104,292,145
161,360,105,275,136
162,376,109,316,157
163,380,111,334,166
164,326,95,312,155
165,333,97,298,148
166,350,102,328,163
167,355,103,342,170
168,374,110,394,197
169,417,122,377,188
170,453,133,341,170
171,484,142,319,159
172,512,150,308,154
173,415,122,269,134
174,408,120,209,104
175,403,118,172,86
176,396,116,141,70
177,384,113,276,138
178,388,114,243,121
179,400,117,289,144
180,404,118,318,159
181,355,104,293,146
182,360,106,273,136
183,376,110,317,158
184,381,112,339,169
185,326,96,313,156
186,333,98,297,148
187,350,103,329,164
188,355,104,345,172
189,373,109,391,183
190,417,122,373,174
191,454,133,338,158
192,488,142,317,148
193,518,151,309,144
194,415,121,265,124
195,406,118,207,96
196,400,117,170,79
197,391,114,140,65
198,383,112,273,127
199,384,112,243,113
200,399,116,287,134
201,403,118,308,144
202,354,103,291,136
203,357,104,271,126
204,374,109,311,145
205,377,110,325,152
206,325,95,312,146
207,329,96,296,138
208,347,101,325,152
209,350,102,336,157
210,373,109,392,182
211,418,122,375,174
212,453,133,339,157
213,486,142,317,147
214,516,151,309,143
215,415,121,266,123
216,406,119,208,96
217,401,117,171,79
218,392,115,140,65
219,384,112,274,127
220,384,112,244,113
221,398,116,287,133
222,402,118,309,143
223,355,104,292,135
224,357,104,272,126
225,373,109,311,144
226,376,110,326,151
227,326,95,312,145
228,331,97,296,137
229,347,101,324,150
230,351,103,337,156
231,373,109,392,197
232,414,121,372,187
233,450,132,335,168
234,483,142,316,159
235,514,151,307,154
236,412,121,265,133
237,403,118,206,103
238,396,116,170,85
239,388,114,139,70
240,381,112,273,137
241,380,111,243,122
242,393,115,284,143
243,398,117,309,155
244,351,103,290,146
245,354,104,271,136
246,370,108,311,156
247,373,109,330,166
248,322,94,312,157
249,327,96,297,149
250,343,101,325,163
251,347,102,339,170
252,368,108,391,197
253,412,121,372,187
254,447,131,334,168
255,479,141,313,157
256,509,149,306,154
257,407,119,264,133
258,396,116,205,103
259,388,114,168,84
260,378,111,138,69
261,377,111,273,137
262,374,110,241,121
263,389,114,282,142
264,395,116,308,155
265,347,102,292,147
266,349,102,271,136
267,366,107,310,156
268,371,109,330,166
269,318,93,313,157
270,323,95,296,149
271,339,99,324,163
272,345,101,339,170
273,368,108,389,193
274,408,119,368,182
275,441,129,328,163
276,474,139,305,151
277,504,148,296,147
278,399,117,262,130
279,385,113,203,100
280,375,110,167,83
281,364,106,137,68
282,369,108,272,135
283,366,107,241,119
284,381,111,281,139
285,386,113,306,152
286,340,99,291,144
287,341,100,270,134
288,359,105,308,153
289,363,106,327,162
290,312,91,313,155
291,316,92,297,147
292,334,98,324,161
293,340,99,338,168
294,366,99,387,189
295,405,110,364,177
296,436,118,321,156
297,467,126,295,144
298,496,134,285,139
299,391,106,257,125
300,373,101,198,96
301,361,98,163,79
302,349,94,135,66
303,361,98,268,131
304,355,96,240,117
305,373,101,279,136
306,382,103,304,148
307,332,90,289,141
308,331,89,271,132
309,353,95,308,150
310,363,98,328,160
311,305,82,312,152
312,307,83,298,145
313,328,89,324,158
314,337,91,339,165
315,365,99,387,189
316,404,109,363,177
317,435,118,321,157
318,466,126,295,144
319,496,134,285,139
320,389,105,255,125
321,372,101,197,96
322,360,97,163,79
323,347,94,135,66
324,360,97,267,130
325,355,96,239,117
326,374,101,279,136
327,384,104,306,150
328,332,90,289,141
329,331,89,270,132
330,353,95,307,150
331,363,98,328,160
332,305,82,313,153
333,307,83,298,146
334,328,89,323,158
335,337,91,338,165
336,359,88,380,181
337,397,97,350,167
338,421,103,306,146
339,451,110,276,131
340,481,117,263,125
341,371,91,244,116
342,347,85,190,90
343,330,80,157,75
344,313,76,131,62
345,342,83,258,123
346,333,81,230,109
347,353,86,271,129
348,361,88,289,138
349,316,77,280,133
350,310,76,261,124
351,333,81,296,141
352,341,83,306,146
353,292,71,305,145
354,289,70,290,138
355,311,76,315,150
356,320,78,326,155
357,369,89,384,118
358,403,98,353,108
359,423,103,306,94
360,448,109,273,84
361,476,116,254,78
362,369,89,248,76
363,342,83,196,60
