,cx,cxROI,cy,cyROI
0,421,74,416,128
1,469,83,414,127
2,511,90,409,126
3,509,90,406,125
4,477,84,410,126
5,505,89,313,96
6,492,87,329,101
7,475,84,340,104
8,463,82,344,106
9,462,81,295,90
10,450,79,358,110
11,451,79,405,124
12,458,81,418,128
13,419,74,301,92
14,408,72,378,116
15,420,74,414,127
16,432,76,417,128
17,382,67,318,98
18,378,67,379,116
19,390,69,413,127
20,403,71,420,129
21,418,74,419,129
22,461,82,416,128
23,503,89,409,126
24,506,90,403,124
25,482,85,401,123
26,506,90,315,97
27,493,87,319,98
28,477,84,325,100
29,465,82,330,101
30,464,82,294,90
31,450,80,358,110
32,449,79,405,124
33,456,81,420,129
34,421,74,298,91
35,408,72,377,116
36,418,74,416,128
37,432,76,424,130
38,382,68,314,96
39,379,67,376,115
40,392,69,413,127
41,407,72,423,130
42,425,74,411,126
43,467,81,411,126
44,511,89,405,124
45,511,89,397,122
46,479,83,399,123
47,508,88,311,95
48,497,86,328,101
49,483,84,336,103
50,472,82,339,104
51,464,81,293,90
52,452,79,362,111
53,453,79,410,126
54,458,80,423,130
55,421,73,299,92
56,412,72,376,115
57,423,74,415,127
58,436,76,421,129
59,384,67,316,97
60,384,67,376,115
61,398,69,413,127
62,412,72,423,130
63,423,73,414,127
64,462,79,415,127
65,505,87,412,127
66,517,89,409,126
67,498,85,412,127
68,511,88,317,97
69,503,86,330,101
70,497,85,329,101
71,492,84,329,101
72,468,80,297,91
73,456,78,371,114
74,453,78,411,126
75,452,78,420,129
76,425,73,302,93
77,416,71,384,118
78,423,73,413,127
79,431,74,414,127
80,386,66,318,98
81,386,66,382,117
82,398,68,416,128
83,411,70,426,131
84,420,70,405,124
85,465,77,408,125
86,510,85,402,123
87,520,86,398,122
88,497,83,397,122
89,513,85,315,97
90,514,85,320,98
91,513,85,319,98
92,512,85,316,97
93,471,78,294,90
94,463,77,366,112
95,460,76,407,125
96,461,77,415,127
97,427,71,299,92
98,425,71,384,118
99,431,72,413,127
100,440,73,411,126
101,387,64,316,97
102,391,65,382,117
103,401,67,411,126
104,413,69,413,127
105,421,68,403,124
106,464,75,404,124
107,508,82,397,122
108,521,84,393,121
109,502,81,393,121
110,510,82,319,98
111,518,84,314,96
112,523,84,309,95
113,528,85,304,93
114,471,76,297,91
115,469,76,359,110
116,462,75,401,123
117,457,74,417,128
118,430,69,300,92
119,430,69,370,114
120,434,70,408,125
121,439,71,422,130
122,391,63,316,97
123,396,64,369,113
124,405,65,402,123
125,413,67,416,128
126,421,69,401,194
127,466,76,403,195
128,509,83,397,192
129,529,86,387,187
130,512,84,383,185
131,512,84,315,152
132,532,87,306,148
133,548,89,292,141
134,565,92,280,135
135,475,77,293,142
136,483,79,344,166
137,476,78,389,188
138,467,76,415,201
139,435,71,296,143
140,443,72,360,174
141,447,73,396,191
142,449,73,416,201
143,399,65,313,151
144,409,67,363,175
145,418,68,395,191
146,425,69,411,199
147,426,70,403,195
148,467,77,402,194
149,512,84,394,190
150,531,87,385,186
151,512,84,383,185
152,512,84,315,152
153,534,88,306,148
154,553,91,292,141
155,571,94,281,136
156,476,78,293,142
157,487,80,342,165
158,479,79,388,188
159,470,77,415,201
160,435,72,296,143
161,445,73,356,172
162,449,74,396,191
163,449,74,419,203
164,398,65,313,151
165,408,67,360,174
166,417,69,393,190
167,423,70,411,199
168,423,69,399,187
169,466,76,399,187
170,510,84,393,184
171,532,87,383,179
172,515,84,380,178
173,514,84,312,146
174,539,88,300,140
175,558,91,286,134
176,576,94,272,127
177,478,78,290,136
178,490,80,345,161
179,482,79,389,182
180,472,77,412,193
181,438,72,295,138
182,451,74,361,169
183,453,74,398,186
184,452,74,417,195
185,402,66,313,146
186,415,68,364,170
187,424,69,395,185
188,428,70,411,192
189,427,70,397,185
190,467,76,398,185
191,509,83,392,182
192,532,87,382,178
193,517,85,378,176
194,515,84,310,144
195,541,89,297,138
196,561,92,282,131
197,578,95,268,125
198,479,78,288,134
199,493,81,337,157
200,485,79,384,179
201,475,78,407,189
202,439,72,293,136
203,452,74,356,166
204,454,74,394,183
205,452,74,410,191
206,403,66,311,145
207,416,68,361,168
208,423,69,393,183
209,425,70,406,189
210,428,72,403,198
211,468,78,402,197
212,508,85,395,194
213,530,89,383,188
214,518,87,375,184
215,514,86,311,152
216,539,90,299,147
217,560,94,284,139
218,579,97,271,133
219,479,80,290,142
220,491,82,337,165
221,483,81,385,189
222,474,79,413,203
223,439,74,294,144
224,450,75,353,173
225,453,76,393,193
226,453,76,416,204
227,404,68,312,153
228,416,70,357,175
229,424,71,389,191
230,426,71,406,199
231,426,71,403,188
232,466,78,404,188
233,508,85,397,185
234,532,89,384,179
235,518,87,375,175
236,515,86,312,145
237,540,90,300,140
238,560,94,283,132
239,579,97,270,126
240,480,80,291,135
241,494,82,340,158
242,484,81,383,178
243,475,79,406,189
244,442,74,294,137
245,453,76,355,165
246,454,76,392,182
247,452,75,413,192
248,407,68,309,144
249,418,70,357,166
250,425,71,389,181
251,428,71,406,189
252,427,71,400,187
253,468,77,402,188
254,509,84,396,185
255,531,88,385,180
256,517,86,376,176
257,516,85,311,145
258,543,90,298,139
259,564,93,282,132
260,583,97,268,125
261,480,79,290,136
262,492,81,338,158
263,484,80,384,180
264,476,79,408,191
265,441,73,293,137
266,452,75,356,167
267,455,75,394,184
268,456,75,413,193
269,405,67,310,145
270,417,69,360,169
271,424,70,392,184
272,427,71,405,190
273,427,71,401,186
274,467,77,402,187
275,509,84,395,183
276,531,88,383,178
277,519,86,376,174
278,515,85,312,145
279,540,89,299,139
280,562,93,284,132
281,581,96,270,125
282,479,79,290,134
283,491,81,341,158
284,482,80,386,179
285,473,78,410,190
286,440,73,293,136
287,452,75,356,165
288,454,75,394,183
289,453,75,414,192
290,405,67,310,144
291,417,69,360,167
292,424,70,392,182
293,427,71,408,189
294,426,71,401,187
295,467,78,401,187
296,508,84,395,184
297,529,88,383,178
298,517,86,376,175
299,516,86,311,145
300,540,90,299,139
301,561,93,283,132
302,580,96,270,126
303,479,80,290,135
304,490,81,335,156
305,483,80,382,178
306,475,79,409,190
307,438,73,293,136
308,449,75,351,163
309,454,75,391,182
310,455,76,413,192
311,403,67,311,145
312,416,69,359,167
313,425,71,391,182
314,430,71,407,189
315,428,70,401,186
316,468,77,403,186
317,509,84,397,184
318,531,87,385,178
319,518,85,376,174
320,514,85,313,145
321,540,89,300,139
322,560,92,285,132
323,578,95,271,125
324,479,79,291,134
325,490,81,340,157
326,482,79,384,178
327,474,78,411,190
328,440,72,295,136
329,450,74,355,164
330,452,74,392,181
331,452,74,415,192
332,405,67,312,144
333,416,68,359,166
334,423,70,390,180
335,426,70,408,189
336,426,70,399,185
337,468,77,400,185
338,509,83,394,182
339,530,87,383,177
340,516,85,376,174
341,515,84,312,144
342,538,88,301,139
343,559,92,285,132
344,577,95,271,125
345,479,78,291,134
346,490,80,341,158
347,482,79,387,179
348,473,77,411,190
349,439,72,294,136
350,449,74,356,165
351,453,74,395,183
352,454,74,415,192
353,403,66,311,144
354,414,68,359,166
355,423,69,392,181
356,429,70,408,189
357,426,68,395,183
358,469,75,396,184
359,508,82,392,182
360,529,85,384,178
361,514,83,383,178
362,519,83,312,145
363,539,87,302,140
364,559,90,285,132
365,577,93,272,126
366,480,77,290,134
367,490,79,340,158
368,481,77,387,180
369,472,76,409,190
370,438,70,294,136
371,449,72,362,168
372,452,73,398,185
373,452,73,412,191
374,402,65,311,144
375,414,66,367,170
376,421,68,399,185
377,427,69,409,190
378,426,70,400,185
379,467,76,402,186
380,507,83,397,184
381,530,87,385,178
382,519,85,377,174
383,515,84,313,145
384,538,88,301,139
385,558,91,285,132
386,576,94,272,126
387,478,78,291,134
388,491,80,341,158
389,482,79,387,179
390,472,77,412,191
391,438,72,295,136
392,449,74,356,165
393,451,74,394,182
394,450,74,414,192
395,401,66,312,144
396,413,68,359,166
397,420,69,391,181
398,424,69,406,188
399,426,69,398,184
400,468,76,400,185
401,509,83,394,182
402,529,86,384,178
403,516,84,378,175
404,516,84,313,145
405,538,87,301,139
406,558,91,285,132
407,576,94,271,125
408,479,78,291,134
409,489,79,341,158
410,482,78,387,179
411,473,77,409,189
412,438,71,294,136
413,448,73,360,167
414,451,73,397,184
415,452,73,413,191
416,402,65,311,144
417,413,67,363,168
418,421,68,394,182
419,426,69,407,188
420,426,70,402,186
421,466,77,402,186
422,506,84,396,183
423,528,87,385,178
424,516,85,377,174
425,514,85,313,145
426,538,89,301,139
427,558,92,285,132
428,576,95,271,125
429,478,79,291,134
430,488,81,342,158
431,480,79,387,179
432,471,78,414,192
433,439,73,294,136
434,449,74,356,165
435,452,75,395,183
436,452,75,417,193
437,403,67,311,144
438,414,68,360,167
439,423,70,393,182
440,427,71,410,190
441,428,70,399,194
442,468,76,400,195
443,509,83,394,192
444,530,86,384,187
445,516,84,377,183
446,515,84,313,152
447,538,88,300,146
448,557,91,285,138
449,575,94,272,132
450,478,78,290,141
451,488,80,340,165
452,481,78,385,187
453,472,77,410,199
454,438,71,294,143
455,447,73,358,174
456,451,73,395,192
