,cx,cxROI,cy,cyROI
0,339,50,278,134
1,328,48,311,150
2,284,42,336,162
3,242,36,345,166
4,213,31,349,168
5,256,38,286,138
6,205,30,325,157
7,175,26,348,168
8,151,22,363,175
9,247,36,273,131
10,198,29,315,152
11,169,25,340,164
12,146,21,359,173
13,240,35,270,130
14,203,30,309,149
15,186,27,330,159
16,174,25,344,166
17,236,35,271,130
18,208,31,301,145
19,198,29,320,154
20,191,28,332,160
21,338,49,281,137
22,324,47,323,157
23,282,41,344,168
24,238,34,346,169
25,208,30,345,168
26,256,37,292,142
27,207,30,330,161
28,179,26,353,172
29,155,22,369,180
30,243,35,272,132
31,192,28,316,154
32,164,23,342,167
33,141,20,362,176
34,235,34,265,129
35,194,28,310,151
36,176,25,336,164
37,162,23,353,172
38,232,33,269,131
39,205,29,306,149
40,200,29,327,159
41,198,28,339,165
42,347,53,271,128
43,312,48,273,129
44,271,42,292,138
45,244,37,320,151
46,228,35,346,163
47,241,37,272,128
48,201,31,319,151
49,178,27,347,164
50,158,24,367,173
51,251,39,281,133
52,202,31,328,155
53,174,27,353,167
54,150,23,372,176
55,266,41,298,141
56,218,33,338,160
57,188,29,356,168
58,164,25,370,175
59,283,43,320,151
60,245,38,341,161
61,223,34,347,164
62,205,31,351,166
63,350,55,276,131
64,335,52,312,148
65,295,46,338,161
66,257,40,354,168
67,229,36,369,175
68,257,40,292,139
69,217,34,335,159
70,195,30,362,172
71,176,27,383,182
72,249,39,283,134
73,208,32,332,158
74,185,29,358,170
75,164,25,380,181
76,247,38,284,135
77,211,33,333,158
78,191,30,358,170
79,172,27,378,180
80,251,39,293,139
81,222,35,330,157
82,207,32,351,167
83,193,30,367,174
84,351,70,272,131
85,342,68,306,148
86,315,63,341,165
87,292,58,374,181
88,283,56,405,196
89,259,52,296,143
90,224,44,343,166
91,203,40,371,179
92,183,36,392,190
93,250,50,288,139
94,215,43,339,164
95,194,38,367,177
96,173,34,389,188
97,249,49,290,140
98,217,43,340,164
99,199,39,366,177
100,182,36,385,186
101,254,50,298,144
102,229,45,337,163
103,214,42,359,174
104,200,40,375,181
105,349,74,267,125
106,343,72,304,143
107,317,67,340,160
108,290,61,366,172
109,271,57,382,179
110,268,56,308,145
111,244,51,361,169
112,232,49,392,184
113,220,46,415,195
114,260,55,299,140
115,235,49,361,169
116,221,46,395,185
117,205,43,421,198
118,260,55,301,141
119,234,49,362,170
120,220,46,393,185
121,207,43,417,196
122,264,56,308,145
123,243,51,356,167
124,234,49,380,178
125,224,47,397,186
126,331,76,264,81
127,347,80,303,93
128,336,77,350,107
129,311,71,383,118
130,298,68,412,127
131,289,66,323,99
132,267,61,379,116
133,253,58,411,126
134,238,55,436,134
135,263,60,313,96
136,245,56,377,116
137,236,54,412,127
138,228,52,439,135
139,246,56,310,95
140,239,55,369,113
